T_K,M_abs
0.0,1.0
5.0,1.0
10.0,1.0
15.0,1.0
20.0,1.0
25.0,1.0
30.0,1.0
35.0,1.0
40.0,1.0
45.0,1.0
50.0,1.0
55.0,1.0
60.0,1.0
65.0,0.99999755859375
70.0,0.99999755859375
75.0,0.999990234375
80.0,0.9999951171875
85.0,0.99999267578125
90.0,0.99998291015625
95.0,0.99997802734375
100.0,0.99992431640625
105.0,0.99985107421875
110.0,0.99976806640625
115.0,0.99980712890625
120.0,0.999580078125
125.0,0.99941162109375
130.0,0.99935546875
135.0,0.99889404296875
140.0,0.99872802734375
145.0,0.9980859375
150.0,0.9977099609375
155.0,0.99701416015625
160.0,0.99619873046875
165.0,0.9951708984375
170.0,0.9945556640625
175.0,0.99312255859375
180.0,0.991083984375
185.0,0.9900146484375
190.0,0.9871923828125
195.0,0.9857763671875
200.0,0.9837255859375
205.0,0.98124267578125
210.0,0.97665771484375
215.0,0.9737939453125
220.0,0.970078125
225.0,0.966103515625
230.0,0.96056640625
235.0,0.95356689453125
240.0,0.94888916015625
245.0,0.94076416015625
250.0,0.93049072265625
255.0,0.91912109375
260.0,0.9068115234375
265.0,0.89015869140625
270.0,0.88066650390625
275.0,0.83144287109375
280.0,0.8255712890625
285.0,0.80192138671875
290.0,0.76066650390625
295.0,0.5913232421875
300.0,0.44988037109375
305.0,0.18475341796875
310.0,0.10818603515625
315.0,0.279755859375
320.0,0.106357421875
325.0,0.08283935546875
330.0,0.03569580078125
335.0,0.09055419921875
340.0,0.06347412109375
345.0,0.099873046875
350.0,0.03915771484375
355.0,0.06037841796875
360.0,0.03374755859375
365.0,0.05830078125
370.0,0.05633056640625
375.0,0.0358251953125
380.0,0.0437109375
385.0,0.04913330078125
390.0,0.04458984375
395.0,0.04113037109375
400.0,0.04116943359375
405.0,0.03315185546875
410.0,0.031396484375
415.0,0.02869140625
420.0,0.0366015625
425.0,0.03292724609375
430.0,0.030146484375
435.0,0.02908203125
440.0,0.0262646484375
445.0,0.03391845703125
450.0,0.028798828125
455.0,0.0325048828125
460.0,0.02484619140625
465.0,0.02966064453125
470.0,0.0334814453125
475.0,0.03230712890625
480.0,0.02904296875
485.0,0.0269482421875
490.0,0.0247900390625
495.0,0.03188720703125
500.0,0.024599609375
505.0,0.02513427734375
510.0,0.02802978515625
515.0,0.02669189453125
520.0,0.026689453125
525.0,0.02291748046875
530.0,0.0244482421875
535.0,0.02264404296875
540.0,0.02407470703125
545.0,0.02357421875
550.0,0.0258251953125
555.0,0.02171875
560.0,0.0229248046875
565.0,0.01974853515625
570.0,0.0284375
575.0,0.01982177734375
580.0,0.019765625
585.0,0.022451171875
590.0,0.01931884765625
595.0,0.01983154296875
600.0,0.0218896484375
605.0,0.02308349609375
610.0,0.018896484375
615.0,0.02258056640625
620.0,0.02075927734375
625.0,0.01940673828125
630.0,0.01976806640625
635.0,0.0209228515625
640.0,0.0203662109375
645.0,0.02083984375
650.0,0.0209814453125
655.0,0.0194970703125
660.0,0.0240869140625
665.0,0.02
670.0,0.019501953125
675.0,0.02048828125
680.0,0.02134521484375
685.0,0.02037109375
690.0,0.0192578125
695.0,0.0192529296875
700.0,0.02036865234375
705.0,0.01933349609375
710.0,0.0201171875
715.0,0.01818115234375
720.0,0.01939208984375
725.0,0.018837890625
730.0,0.01994873046875
735.0,0.0196826171875
740.0,0.01814697265625
745.0,0.01806396484375
750.0,0.02150146484375
755.0,0.0214208984375
760.0,0.02044189453125
765.0,0.0193310546875
770.0,0.01841064453125
775.0,0.02005126953125
780.0,0.01740966796875
785.0,0.01990966796875
790.0,0.017763671875
795.0,0.01822265625
800.0,0.0185791015625
805.0,0.01782470703125
810.0,0.0180029296875
815.0,0.01656005859375
820.0,0.0190966796875
825.0,0.01732421875
830.0,0.015634765625
835.0,0.02129150390625
840.0,0.01947021484375
845.0,0.01686767578125
850.0,0.016376953125
855.0,0.0191015625
860.0,0.017626953125
865.0,0.01542724609375
870.0,0.01889404296875
875.0,0.01698974609375
880.0,0.01688232421875
885.0,0.018232421875
890.0,0.01777587890625
895.0,0.01779052734375
900.0,0.01914306640625
905.0,0.017392578125
910.0,0.01781982421875
915.0,0.0195849609375
920.0,0.01831787109375
925.0,0.0183203125
930.0,0.0193505859375
935.0,0.01535888671875
940.0,0.01669677734375
945.0,0.01520751953125
950.0,0.01664306640625
955.0,0.01886962890625
960.0,0.0181689453125
965.0,0.01733642578125
970.0,0.0191943359375
975.0,0.01907958984375
980.0,0.015458984375
985.0,0.016474609375
990.0,0.01541015625
995.0,0.017822265625
1000.0,0.01429443359375
1005.0,0.01675048828125
1010.0,0.0158984375
1015.0,0.01739501953125
1020.0,0.0160595703125
1025.0,0.0171826171875
1030.0,0.0151416015625
1035.0,0.018046875
1040.0,0.02000732421875
1045.0,0.01638427734375
1050.0,0.01754638671875
1055.0,0.01740478515625
1060.0,0.0171728515625
1065.0,0.0161669921875
1070.0,0.0163720703125
1075.0,0.01697998046875
1080.0,0.01771484375
1085.0,0.0174755859375
1090.0,0.01643798828125
1095.0,0.013818359375
1100.0,0.0171142578125
1105.0,0.0164208984375
1110.0,0.0182763671875
1115.0,0.01726806640625
1120.0,0.01677978515625
1125.0,0.0159716796875
1130.0,0.015498046875
1135.0,0.01562744140625
1140.0,0.01754638671875
1145.0,0.0157763671875
1150.0,0.01720703125
1155.0,0.0156689453125
1160.0,0.01656982421875
1165.0,0.0158251953125
1170.0,0.0168896484375
1175.0,0.0176708984375
1180.0,0.01638916015625
1185.0,0.01593017578125
1190.0,0.0156396484375
